,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
185,,results_top_domain_frac_www.earnhardthonda.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
186,,results_full_domain_frac_TweetCarousel,210,50,0.007692307692307693,0.0077,0.0077,,1.0,260,rural,urban,,
187,0.002,results_top_three_domain_frac_TweetCarousel,210,50,0.001282051282051282,0.002,0.0,inf,,260,rural,urban,0.3184668765486,rural
188,,results_top_domain_frac_TweetCarousel,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
189,,results_full_domain_frac_www.abortionpensacola.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
190,,results_top_three_domain_frac_www.abortionpensacola.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
191,,results_top_domain_frac_www.abortionpensacola.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
192,,results_full_domain_frac_www.shopjustice.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
193,,results_top_three_domain_frac_www.shopjustice.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
194,,results_top_domain_frac_www.shopjustice.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
195,,results_full_domain_frac_www.latimes.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
196,,results_top_three_domain_frac_www.latimes.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
197,,results_top_domain_frac_www.latimes.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
198,,results_full_domain_frac_www.cbssports.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
199,,results_top_three_domain_frac_www.cbssports.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
200,,results_top_domain_frac_www.cbssports.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
201,,results_full_domain_frac_abc7chicago.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
202,,results_top_three_domain_frac_abc7chicago.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
203,,results_top_domain_frac_abc7chicago.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
204,,results_full_domain_frac_www.vfw.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
205,,results_top_three_domain_frac_www.vfw.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
206,,results_top_domain_frac_www.vfw.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
207,,results_full_domain_frac_www.illinois.gov,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
208,,results_top_three_domain_frac_www.illinois.gov,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
209,,results_top_domain_frac_www.illinois.gov,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
210,,results_full_domain_frac_www.texasmonthly.com,210,50,0.007692307692307693,0.0077,0.0077,,1.0,260,rural,urban,,
211,,results_top_three_domain_frac_www.texasmonthly.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
212,,results_top_domain_frac_www.texasmonthly.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
213,,results_full_domain_frac_www.texarkanachevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
214,,results_top_three_domain_frac_www.texarkanachevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
215,,results_top_domain_frac_www.texarkanachevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
216,,results_full_domain_frac_veterans.maryland.gov,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
217,,results_top_three_domain_frac_veterans.maryland.gov,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
218,,results_top_domain_frac_veterans.maryland.gov,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
219,,results_full_domain_frac_www.biography.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
220,,results_top_three_domain_frac_www.biography.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
221,,results_top_domain_frac_www.biography.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
222,,results_full_domain_frac_www.kia.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
223,,results_top_three_domain_frac_www.kia.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
224,,results_top_domain_frac_www.kia.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
225,,results_full_domain_frac_pizza.dominos.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
226,,results_top_three_domain_frac_pizza.dominos.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
227,,results_top_domain_frac_pizza.dominos.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
228,,results_full_domain_frac_www.espn.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
